,Date,Average
0,2019-01-06,0.0
1,2019-01-07,
2,2019-01-08,
3,2019-01-09,
4,2019-01-10,
5,2019-01-11,
6,2019-01-12,
7,2019-01-13,
8,2019-01-14,
9,2019-01-15,
10,2019-01-16,
11,2019-01-17,
12,2019-01-18,
13,2019-01-19,
14,2019-01-20,
15,2019-01-21,
16,2019-01-22,
17,2019-01-23,
18,2019-01-24,
19,2019-01-25,
20,2019-01-26,
21,2019-01-27,
22,2019-01-28,
23,2019-01-29,
24,2019-01-30,
25,2019-01-31,
26,2019-02-01,
27,2019-02-02,
28,2019-02-03,
29,2019-02-04,
30,2019-02-05,
31,2019-02-06,
32,2019-02-07,
33,2019-02-08,
34,2019-02-09,
35,2019-02-10,
36,2019-02-11,
37,2019-02-12,
38,2019-02-13,
39,2019-02-14,
40,2019-02-15,
41,2019-02-16,
42,2019-02-17,
43,2019-02-18,
44,2019-02-19,
45,2019-02-20,
46,2019-02-21,
47,2019-02-22,
48,2019-02-23,
49,2019-02-24,
50,2019-02-25,
51,2019-02-26,
52,2019-02-27,
53,2019-02-28,
54,2019-03-01,
55,2019-03-02,
56,2019-03-03,
57,2019-03-04,
58,2019-03-05,
59,2019-03-06,
60,2019-03-07,
61,2019-03-08,
62,2019-03-09,
63,2019-03-10,
64,2019-03-11,
65,2019-03-12,
66,2019-03-13,
67,2019-03-14,
68,2019-03-15,
69,2019-03-16,
70,2019-03-17,
71,2019-03-18,
72,2019-03-19,
73,2019-03-20,
74,2019-03-21,
75,2019-03-22,
76,2019-03-23,
77,2019-03-24,
78,2019-03-25,
79,2019-03-26,
80,2019-03-27,
81,2019-03-28,
82,2019-03-29,
83,2019-03-30,
84,2019-03-31,
85,2019-04-01,
86,2019-04-02,
87,2019-04-03,
88,2019-04-04,
89,2019-04-05,
90,2019-04-06,
91,2019-04-07,
92,2019-04-08,
93,2019-04-09,
94,2019-04-10,
95,2019-04-11,
96,2019-04-12,
97,2019-04-13,
98,2019-04-14,
99,2019-04-15,
100,2019-04-16,
101,2019-04-17,
102,2019-04-18,
103,2019-04-19,
104,2019-04-20,
105,2019-04-21,
106,2019-04-22,
107,2019-04-23,
108,2019-04-24,
109,2019-04-25,
110,2019-04-26,
111,2019-04-27,
112,2019-04-28,
113,2019-04-29,
114,2019-04-30,
