,Date,Average
0,06-01-2019,2650
1,07-01-2019,
2,08-01-2019,
3,09-01-2019,
4,10-01-2019,
5,11-01-2019,
6,12-01-2019,
7,13-01-2019,
8,14-01-2019,
9,15-01-2019,
10,16-01-2019,
11,17-01-2019,
12,18-01-2019,
13,19-01-2019,
14,20-01-2019,
15,21-01-2019,
16,22-01-2019,
17,23-01-2019,
18,24-01-2019,
19,25-01-2019,
20,26-01-2019,
21,27-01-2019,
22,28-01-2019,
23,29-01-2019,
24,30-01-2019,
25,31-01-2019,
26,01-02-2019,
27,02-02-2019,
28,03-02-2019,
29,04-02-2019,
30,05-02-2019,
31,06-02-2019,
32,07-02-2019,
33,08-02-2019,
34,09-02-2019,
35,10-02-2019,
36,11-02-2019,
37,12-02-2019,
38,13-02-2019,
39,14-02-2019,
40,15-02-2019,
41,16-02-2019,
42,17-02-2019,
43,18-02-2019,
44,19-02-2019,
45,20-02-2019,
46,21-02-2019,
47,22-02-2019,
48,23-02-2019,
49,24-02-2019,
50,25-02-2019,
51,26-02-2019,
52,27-02-2019,
53,28-02-2019,
54,01-03-2019,
55,02-03-2019,
56,03-03-2019,
57,04-03-2019,
58,05-03-2019,
59,06-03-2019,
60,07-03-2019,
61,08-03-2019,
62,09-03-2019,
63,10-03-2019,
64,11-03-2019,
65,12-03-2019,
66,13-03-2019,
67,14-03-2019,
68,15-03-2019,
69,16-03-2019,
70,17-03-2019,
71,18-03-2019,
72,19-03-2019,
73,20-03-2019,
74,21-03-2019,
75,22-03-2019,
76,23-03-2019,
77,24-03-2019,
78,25-03-2019,
79,26-03-2019,
80,27-03-2019,
81,28-03-2019,
82,29-03-2019,
83,30-03-2019,
84,31-03-2019,
85,01-04-2019,
86,02-04-2019,
87,03-04-2019,
88,04-04-2019,
89,05-04-2019,
90,06-04-2019,
91,07-04-2019,
92,08-04-2019,
93,09-04-2019,
94,10-04-2019,
95,11-04-2019,
96,12-04-2019,
97,13-04-2019,
98,14-04-2019,
99,15-04-2019,
100,16-04-2019,
101,17-04-2019,
102,18-04-2019,
103,19-04-2019,
104,20-04-2019,
105,21-04-2019,
106,22-04-2019,
107,23-04-2019,
108,24-04-2019,
109,25-04-2019,
110,26-04-2019,
111,27-04-2019,
112,28-04-2019,
113,29-04-2019,
114,30-04-2019,
115,01-05-2019,
116,02-05-2019,
117,03-05-2019,
118,04-05-2019,
119,05-05-2019,
120,06-05-2019,
121,07-05-2019,
122,08-05-2019,
123,09-05-2019,
124,10-05-2019,
125,11-05-2019,
126,12-05-2019,
127,13-05-2019,
128,14-05-2019,
129,15-05-2019,
130,16-05-2019,
131,17-05-2019,
132,18-05-2019,
133,19-05-2019,
134,20-05-2019,
135,21-05-2019,
136,22-05-2019,
137,23-05-2019,
138,24-05-2019,
139,25-05-2019,
140,26-05-2019,
141,27-05-2019,
142,28-05-2019,
143,29-05-2019,
144,30-05-2019,
145,31-05-2019,14914277.2
146,01-06-2019,
147,02-06-2019,
148,03-06-2019,
149,04-06-2019,
150,05-06-2019,
151,06-06-2019,
152,07-06-2019,
153,08-06-2019,
154,09-06-2019,
155,10-06-2019,
156,11-06-2019,
157,12-06-2019,
158,13-06-2019,
159,14-06-2019,
160,15-06-2019,
161,16-06-2019,
162,17-06-2019,
163,18-06-2019,
164,19-06-2019,
165,20-06-2019,
166,21-06-2019,
167,22-06-2019,
168,23-06-2019,
169,24-06-2019,
170,25-06-2019,
171,26-06-2019,
172,27-06-2019,
173,28-06-2019,
174,29-06-2019,
175,30-06-2019,604983
176,01-07-2019,
177,02-07-2019,
178,03-07-2019,
179,04-07-2019,
180,05-07-2019,
181,06-07-2019,
182,07-07-2019,
183,08-07-2019,
184,09-07-2019,
185,10-07-2019,
186,11-07-2019,
187,12-07-2019,
188,13-07-2019,
189,14-07-2019,
190,15-07-2019,
191,16-07-2019,
192,17-07-2019,
193,18-07-2019,
194,19-07-2019,0
195,20-07-2019,
196,21-07-2019,
197,22-07-2019,
