,Date,Average
0,2019-01-06,2650.0
1,2019-01-13,
2,2019-01-20,
3,2019-01-27,
4,2019-02-03,
5,2019-02-10,
6,2019-02-17,
7,2019-02-24,
8,2019-03-03,
9,2019-03-10,
10,2019-03-17,
11,2019-03-24,
12,2019-03-31,
13,2019-04-07,
14,2019-04-14,
15,2019-04-21,
16,2019-04-28,
17,2019-05-05,
18,2019-05-12,
19,2019-05-19,
20,2019-05-26,
21,2019-06-02,14914277.200000001
22,2019-06-09,
23,2019-06-16,
24,2019-06-23,
25,2019-06-30,604983.0
26,2019-07-07,
27,2019-07-14,
28,2019-07-21,0.0
29,2019-07-28,0.0
30,2019-08-04,908045.0
31,2019-08-11,159300.0
32,2019-08-18,
33,2019-08-25,
34,2019-09-01,548927.0
35,2019-09-08,
36,2019-09-15,
37,2019-09-22,
38,2019-09-29,
39,2019-10-06,590922.0
40,2019-10-13,
41,2019-10-20,0.0
42,2019-10-27,0.0
43,2019-11-03,352272.6666666667
44,2019-11-10,
45,2019-11-17,0.0
